1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Bangladesh,0.0033778274745498173,0.003542797447369019,0.0038742625693404947,0.0014927571814387429,0.001541951895029415,0.0014136856000674075,0.0016953728200421144,0.0015831663326653306,0.001414638432475178,0.0015522765218176076,0.001925413397582422,0.002529828040067006,0.0027776177029908374,0.003065665804579575,0.003958032292517434,0.0038195619590968427,0.00368985372956516,0.00338468351627495,0.0033517730286087176,0.0032188080484380982,0.0035856461221378355,0.0036518396485447557,0.004124539671911617,0.004418617106743078,0.004459204306546862,0.0034402639247249713,0.0036023672699202333,0.003458979028507943,0.0033439439246326485,0.0033653286486829714,0.0034089972810414436,0.0036613131499600026,0.003574799670636435,0.003770551988966174,0.0038844402874676693,0.003936514752983699,0.004311850694125218,0.004873734892404441,0.005030113869560653,0.005373880839203558,0.005935301285326835,0.006177658272375941,0.00636023867287391,0.006912677572304752,0.007464470224853376,0.008136417193168008,0.0037711666107417656
Barbados,,,0.23615391388570925,0.10238153695065062,0.10625718186193146,0.10404164287118609,0.12531720749419578,0.125250501002004,0.11431332923293208,0.11466089075402734,0.12378245917505817,0.13849099176096544,0.14481645824929407,0.15978048318930171,0.20839354149651315,0.21835968347596255,0.23059103845390164,0.22816562806440388,0.20506621976359618,0.18749911376430384,0.17417205454699455,0.17078528281164196,0.1724137931034483,0.17519147340795888,0.18180966027023046,0.18101179702442843,0.17782706186514402,0.1661798898166283,0.15865513434723427,0.15231816113362895,0.14929554255582103,0.15184706582159047,0.14947884240756734,0.1536103035294351,0.15534897926071561,0.14828135344534507,0.15142042842695597,0.15495725655890735,0.15051207895465263,0.15048775366053874,0.15490743288392753,0.151897148254161,0.14666017216669633,0.14635391053417832,0.14783695832031035,0.15110356536502548,0.15903829367997965
Belgium,0.5061383278589233,0.5230849590080168,0.528924892137008,0.23005155904738522,0.24277394199510896,0.23230318406935485,0.27541709410938936,0.26152304609218435,0.23908268166241983,0.24552141148865123,0.28131628261361996,0.312844005333151,0.32461245894081714,0.36163502176244244,0.45812653138154175,0.47944366549017714,0.5135349791514991,0.5065321228608484,0.4883355332433595,0.4739304907618791,0.4776814703972444,0.45771554091158706,0.460328088382993,0.4697659471908307,0.47641174658864177,0.4724072861709092,0.4584196145221962,0.4433563550149469,0.4287429128752559,0.4253542590456436,0.41913158111559695,0.4184973232416467,0.4226096037595646,0.4244946964209524,0.4159023449802915,0.4005761626138458,0.41160246391468236,0.42615702073302547,0.4215846290410331,0.4234770822595117,0.43300184741165837,0.4236755621090776,0.4164317093961052,0.4163658801369545,0.41626372010075197,0.42571924258027405,0.4080610060852826
Belize,0.030214084375800778,0.030726954783912065,0.03363564321563793,0.015369506506260741,0.015115057111148213,0.015101158098733301,0.01862750391447546,0.018336673346693387,0.018451805640980583,0.01863634312531023,0.020819175881880522,0.022141693161487355,0.022301619316544688,0.02403330599886457,0.03043915310674122,0.03366694064368483,0.036832351578529356,0.03884477904659476,0.03970219644949353,0.041305673326432514,0.045709929698749256,0.046677649643053265,0.04506193505189153,0.044239730062664025,0.04334667970057715,0.04057714278378968,0.038756080526386724,0.038014408594761136,0.03904483242768186,0.039188088006519003,0.03909532833484387,0.04169999794884417,0.04143152651979194,0.04089064406981475,0.04005650094963589,0.03698534542916958,0.038245839845545644,0.04009039992139137,0.039219616489610476,0.039096653494454306,0.04091820290082937,0.03942714507377531,0.03903256929288009,0.039462574114110215,0.0381680792778217,0.03810292521361574,0.0342791618261177
Benin,0.009551098376313277,0.009629141780028615,0.00935546359073699,0.0037220721826663394,0.0035749712725522743,0.0034733599842715775,0.0038334863128340804,0.003717434869739479,0.003549775942360074,0.003970939939533414,0.0046745330615102654,0.005014073592925598,0.005543710021321962,0.00642149750835804,0.007963184017088648,0.007413495785588809,0.007429346746972003,0.006389776357827476,0.006466252391475225,0.006196559987521801,0.006338405940314521,0.006370126304228446,0.006561767659859391,0.006895720636280863,0.006896367020635537,0.005853583394308161,0.00580789825150405,0.005554982876908451,0.005326731187635982,0.0053125628353423,0.005314328087665816,0.00542530716058499,0.005201534352218183,0.005000942637997241,0.004838848220506409,0.0047059244547032406,0.004937023076215868,0.005237299793652353,0.005030113869560653,0.005011167745260867,0.005276915215596871,0.00546448087431694,0.0055359367535618275,0.0055765358670539006,0.0056902796418525125,0.006002579160752224,0.0057186421030465985
Bhutan,,,,,,,,,0.0018803268605570688,0.0022832904652317133,0.00281089763390375,0.003908698278121545,0.0041952400161355385,0.0046678862045038795,0.006502481623421499,0.008493287563055004,0.008670328943014097,0.008651504128048588,0.009135806131075088,0.00863548062334274,0.009444083683898473,0.009623833058758923,0.010579176431201875,0.011608912216806813,0.012145640558672684,0.011180857755356157,0.011186943256589024,0.011098512180874823,0.010749922296174828,0.011143682600827574,0.01190574277004202,0.01267614300658421,0.012612214568312815,0.0130084043619333,0.013142197237943442,0.01452931808828529,0.015353498207226257,0.017293898005306084,0.018602830990082943,0.0198155890269744,0.021166620808930465,0.02082670752980407,0.021141470816901937,0.02229686470637358,0.023735544483462337,0.02548544815237459,0.012162875928160774
Bolivia,0.03137885247047313,0.031862466786273934,0.030994100554723958,0.014583844831819298,0.014918630118150837,0.014539428721223073,0.016683764375573673,0.015130260521042084,0.012828398207538881,0.0128604304859889,0.013817672617944442,0.01462058277209896,0.014464357747939837,0.015202169936289662,0.01803103599924609,0.018356460216925333,0.018796743662717587,0.018125454717995763,0.01760422382725021,0.017341860102377947,0.017476495666167876,0.017435475013728722,0.01801138265818547,0.0185314123507043,0.0189750525596904,0.01772762865688502,0.017681006702363593,0.0162526200048105,0.015251385271641856,0.014847660673277386,0.014583504984757354,0.014829856624207742,0.01472094471110397,0.014893680356416389,0.014764690724109299,0.01426091935512731,0.015353498207226257,0.01670433330057974,0.01669386936975632,0.01733386785789283,0.018513423214496286,0.01918832702074961,0.01945539870921813,0.02006996186428883,0.020610027394238017,0.02140332322079657,0.017558923590130723
Botswana,0.01926526428588068,0.02277837076737901,0.0232896011270582,0.010950159587527621,0.011677584733694105,0.012105268085345417,0.015495923546244803,0.015531062124248497,0.01493717599507952,0.016199629980596545,0.02030435946541463,0.0251045548300343,0.026911773180429897,0.030593578502491642,0.040177169064522206,0.044626021370207415,0.053213316566284995,0.05608452219023819,0.05468135909947054,0.054634658196616705,0.0547446285891753,0.0528555738605162,0.05256109809173083,0.05521932408548016,0.05713941374184823,0.0570082540660582,0.053949738399519685,0.05439301790193451,0.050941556005701855,0.04955922660937847,0.050630304029002225,0.05216089266301561,0.051573514349406546,0.05249997519373691,0.05399085677200149,0.054073398106894266,0.058104256688425115,0.05620516851724477,0.05840468077389304,0.06085943913101579,0.06430564836287882,0.06911074488487967,0.06863250184999578,0.06572147012702625,0.06684929492011546,0.06779110653418316,0.04473579210769181
Brazil,0.1261909753768025,0.13746508300592739,0.14193889231311085,0.06506260741468205,0.0698199746609179,0.06790371958469475,0.07899141515036985,0.07645290581162324,0.07161057903523416,0.0685438382744461,0.07693416527666234,0.08071518922430003,0.0841929349392036,0.09745789440484451,0.1286046365521141,0.13374913374913375,0.13429082004103515,0.1299465409799766,0.11593278656917852,0.11050295648228238,0.1078234845704283,0.10804503020318507,0.10974221627050552,0.11292914144930641,0.1135155402600533,0.10976752544896728,0.10369671498413242,0.09585495195226151,0.09199061123436546,0.09072629718603495,0.08976682870561094,0.08938937091050807,0.09133813989918262,0.09209077107788174,0.09102188457390457,0.08923363215058958,0.09625815941895743,0.10091382529232583,0.10469700006681365,0.10848939541454289,0.1126528045281239,0.11238326538872986,0.10919190310705622,0.10367160606088724,0.09819639278557114,0.0991492480540325,0.1006270171704456
Brunei,,,1.0,0.42941320893690155,0.4961647629617262,0.5056781477909992,0.6004535392257437,0.6593186372745491,0.5202530533345049,0.4151888452687153,0.4779761537035893,0.516825635590806,0.511323690428168,0.5357345612817763,0.630897782245398,0.6406066173508034,0.6459064133959892,0.5935216524847373,0.547658949678912,0.5249776668604569,0.5313249950591491,0.5043931905546403,0.493806494810847,0.5032403192116116,0.5045328548281265,0.46470520275734584,0.43146312474728293,0.4067049216002932,0.3826565062216649,0.3809065221762459,0.37690533080662436,0.3795253625417923,0.3673809571626534,0.35801391135233823,0.35482023726581213,0.3290031671050513,0.32793968925255124,0.33968753070649504,0.3347268753161718,0.34234389019338335,0.3504579222514838,0.3311552510095315,0.30964714257613085,0.301309233295909,0.28664668787115516,0.2893391596389175,0.4598758135937952
