1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,mean
Hungary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9966476701307408,0.7301019003029469,0.6447819696227339,0.5878848063555114,0.5812274368231047,0.5572982544902606,0.6176628971459344,0.635735176814677,0.5897695619144088,0.5594594594594594,0.5236848992410365,0.5345516847515706,0.5592614651578321,0.5489199491740788,0.6617161716171617,0.6401439424230307,0.5824255628177197,0.5881502890173411,0.6444266879744306,0.606171335769387,0.6247739602169982,0.42307692307692313,0.4625112917795844,0.4653649465364947,0.33636955107351985,0.7711581731930419
Iceland,0.2500833611203735,0.4019707781175671,0.2880354505169867,0.3192437416839434,0.27272727272727276,0.2530197075651622,0.30291153415453526,0.31274346132442965,0.23738214087631726,0.13467202141900939,0.24839250013508407,0.42597041345302833,0.4319756165142699,0.3382961124896609,0.38997482023726093,0.3655186819499204,0.36697247706422015,0.16750000000000004,0.4285714285714286,0.39157036029911624,0.26919208850150855,0.18755163866703387,0.1575208231259187,0.17428003972194636,0.2250300842358604,0.22590437642296987,0.20301561658589123,0.21297527253390056,0.3795897695619144,0.25675675675675674,0.20701387071447264,0.1647629925756711,0.26146515783204294,0.24396442185514614,0.29207920792079206,0.3522590963614554,0.29920116194625995,0.2738439306358382,0.4326807830603276,0.19163621599675193,0.31283905967450276,0.356508875739645,0.37217705510388427,0.3537889353788936,0.23877683799609628,0.28827435442500154
Ireland,0.027009003001000335,0.03227998640842678,0.08892171344165435,0.13513011727573723,0.16293929712460065,0.0673871582962492,0.11002239641657334,0.09515859766277131,0.11591791458679976,0.14109772423025435,0.19273788296320316,0.21001390820584145,0.09642560266001662,0.20141946156514315,0.21086104405160558,0.180396354996214,0.16269113149847095,0.15218750000000003,0.24526484751203856,0.24541128484024474,0.255782769024472,0.16524373450839985,0.20137187653111221,0.20307845084409135,0.20336943441636582,0.2410827219833038,0.27840603123317176,0.21563413985642116,0.2251202836161054,0.26216216216216215,0.22533368228212508,0.22901199314677334,0.24955330553901134,0.24078780177890727,0.3028052805280528,0.3018792483006797,0.30283224400871456,0.309971098265896,,0.33414535119772637,0.3490054249547921,0.224112426035503,,,,0.19985274114513737
Israel,,,,0.23229260141721078,0.2239326169038629,0.13604577240940877,0.1329787234042553,0.1352253756260434,0.10288408208541319,0.10227576974564927,0.14518830712703304,0.15741560247818945,0.06677750069271265,0.14218629098962088,0.1742595332658412,0.16629677015065666,0.1532110091743119,0.15375000000000005,0.14927768860353133,0.163494221617947,0.16795172644988265,0.11016248967226659,0.1271435570798628,0.09160873882820258,0.06329723225030084,0.08828737667594232,0.06758212170166937,0.08481786758840734,0.08483160293745252,0.09864864864864865,0.09421617377649828,0.1022272986864649,0.10631328171530673,0.10387547649301145,0.10437293729372937,0.08796481407437025,0.08024691358024688,0.09826589595375723,0.14942069516580103,0.073487616727568,0.08408679927667272,0.026257396449704158,0.03161698283649504,0.017666201766620194,,0.11419126125172122
Italy,0.0950316772257419,0.0818892286782195,0.10310192023633678,0.12460933873812545,0.13273308161487077,0.07946598855689767,0.11534154535274352,0.09710628825820812,0.09317803660565724,0.10361445783132532,0.16085805370940728,0.15185232014161085,0.08063175394846217,0.1627311294324822,0.16387612595073073,0.15637484007415337,0.1076452599388379,0.08375000000000003,0.11653290529695026,0.10774983004758668,0.11666107945021789,0.08592674194436795,0.08329250367466928,0.0804369414101291,0.08664259927797834,0.08348090058183656,0.08319870759289177,0.06780111672427547,0.06381362370220309,0.07567567567567567,0.07982203611619994,0.06996002284408911,0.07653365098272781,0.062261753494282104,0.07466996699669969,0.08956417433026789,0.08169934640522873,0.07514450867052022,0.08909308829404713,0.06902151847340643,0.0759493670886076,0.04955621301775149,0.04561878952122853,0.04649000464900049,,0.09387245710356024
Japan,0.47982660886962325,0.49711179068977235,0.4741506646971935,0.5172819259213418,0.4888178913738019,0.45645263827082017,0.4316909294512877,0.40456316082359495,0.3788130892956184,0.3708165997322625,0.4245420651645324,0.47654570742192454,0.4070379606539207,0.4396862242856,0.4730420787581445,0.43079453771638954,0.40672782874617736,0.34375000000000006,0.3547351524879615,0.34738273283480625,0.3597049949715052,0.2701735059212338,0.25771680548750614,0.2601787487586892,0.26353790613718414,0.2891474829243612,0.44264943457189015,0.42834352565806966,0.38718662952646243,0.40810810810810816,0.4085317979586495,0.4774414620217019,0.4729005360333532,0.5076238881829733,0.6452145214521451,0.6561375449820073,0.5896877269426289,0.5917630057803469,0.6284458649620456,0.6021112464474218,0.588607594936709,0.4600591715976332,0.5212285456187895,0.5025569502556951,,0.44597333150981555
Kyrgyz Republic,,,,,,,,,,0.4163319946452477,0.4542605500621387,,,0.38899116838763037,0.2965241544012668,0.3655186819499204,0.36085626911314983,0.37500000000000006,0.44141252006420556,0.4255608429639701,0.3697619845792826,0.3610575599008537,0.3410093091621754,0.3545183714001986,0.2611311672683514,0.2663799645838603,0.2703284868066775,0.2927412922095187,0.2453785768549,0.28378378378378377,0.28814446479979067,0.23472301541976018,0.21620011911852294,0.2242693773824651,0.27227722772277224,0.2934826069572171,0.25453885257806824,0.2182080924855491,0.28605673192169395,0.23101908241981325,0.29475587703435807,0.16420118343195272,0.2014453477868112,0.1794514179451418,,0.30088848712548627
Latvia,,,,,,,,,0.744869661674986,0.7563587684069613,0.8243907710595991,0.7471235301555191,0.739540038791909,0.6851570212652419,0.576876151909249,0.5300138384814226,0.5535168195718655,0.6062500000000001,0.6757624398073836,0.7654656696125085,0.9564197116996312,0.9531809418892866,0.8211660950514452,0.8262164846077458,0.7208182912154032,0.7217303313938781,0.7415185783521809,0.6383940441371975,0.6277538617371488,0.6297297297297297,0.591729913635174,0.557395773843518,0.535437760571769,0.5775095298602287,0.6287128712871287,0.5761695321871252,0.625998547567175,0.6170520231213874,0.5844986016779864,0.557450263905806,0.642857142857143,0.4267751479289941,0.5438121047877145,0.5490469549046956,,0.6626860819079483
Lithuania,,,,,,,,,,0.8179384203480591,0.8703193386286271,,,0.853251153979562,0.6158139293409133,0.7049531319355598,0.6880733944954128,0.6968750000000001,0.7046548956661316,0.8878314072059824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.936462078576478
Luxembourg,0.3264421473824608,0.29323819232076115,0.30280649926144754,0.2700436302874648,0.3639268080162649,0.3642720915448189,0.4344904815229562,0.42125765164162493,0.24015529672767608,0.35475234270415,0.5055924785216405,0.4664306486281452,0.3654752008866722,0.3222871474692494,0.2913324507437116,0.4386276404083658,0.40672782874617736,0.425,0.41252006420545745,0.45615227736233865,0.3161247066711364,0.3032222528229138,0.3189612934835865,0.2552135054617676,0.282791817087846,0.34227169238552996,0.267635971997846,0.2927412922095187,0.22258799696125603,0.3,0.34572101544098405,0.19217589948600802,0.258487194758785,0.18996188055908517,0.34405940594059403,0.44822071171531386,0.15541031227305732,0.18352601156069365,0.2409109069117059,0.2046285018270402,0.19077757685352623,0.05880177514792901,0.26603432700993673,0.2487215248721525,,0.31114814663226353
