1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Egypt,,,,0.5774021352313168,0.371189024390244,0.6719160104986877,0.6015625,0.5311622683885459,,0.6868884540117418,0.561304836895388,0.5581655480984341,0.5039393055150277,0.5249549007817196,0.5202492211838006,0.4309731652117685,0.41931344241257623,0.4209133024487095,0.2851897184822521,0.34179815143310616,0.4174211478390178,0.40058810223931246,0.4300391389432485,0.32932932932932935,0.3721165747721391,0.3187191059531485,,,,,0.24430227908836466,0.22741078208048596,0.23119673953316044,0.22546144557529757,0.2503798750633125,0.2298980747451869,0.31894569255262695,0.4570107667007973,0.41363765328961877,0.41250000000000003,0.3574837841145515,0.38527692820155657,0.3176074136478517,0.34194341943419443,,,0.40800528439129224
Finland,0.4729775092312857,0.49518432414480235,0.5821114369501467,0.6307829181494663,0.6532012195121952,0.6423884514435695,0.5781249999999999,0.5339696799550815,0.5632530120481928,0.6118721461187214,0.5247469066366703,0.5329977628635347,0.5710533994747593,0.6482260974143114,0.6822429906542056,0.6928548334949886,0.7369265319217196,0.7749834546657843,0.5593635250917992,0.563532816730464,0.5624991499335814,0.4820176430671794,0.5303326810176126,0.3913913913913914,0.47113761674355803,0.46056307758435416,0.5024875621890548,0.4381270903010033,0.49685534591194974,0.43952802359882004,0.4262295081967213,0.394457099468489,0.38125231567247125,0.3582887700534759,0.34661489110248184,0.3237340236207734,0.43392888731646906,0.5594030221229327,0.558651997099713,0.6031250000000001,0.5991922653286011,0.6033067861793295,0.5591126088177478,0.5940959409594097,0.4546587722031785,,0.5338174552529332
France,0.37227257468949315,0.355695782132182,0.49413489736070376,0.43505338078291816,0.42835365853658547,0.4455380577427821,0.41796875,0.4665918023582258,0.5000000000000001,0.5107632093933464,0.4544431946006749,0.45190156599552567,0.4805952728333821,0.5339747444377629,0.5482866043613707,0.6023278370514064,0.5765158806544755,0.586366644606221,0.419828641370869,0.43516011576883573,0.4174211478390178,0.3915403754806605,0.43248532289628183,0.36536536536536535,0.43512996511758756,0.42617666021921335,0.5095948827292112,0.46488294314381273,0.4758909853249476,0.4690265486725664,0.4262295081967213,0.394457099468489,0.38495739162652837,0.3669139209936174,0.36518656086442686,0.3399126354958745,0.4670971165752697,0.6121505476434266,0.6626840263547807,0.6562500000000001,0.6695630889731979,0.6790115979771675,0.6265094074698119,0.6709717097170973,0.5200997195387971,,0.48322846983023626
Germany,0.10708291372943943,0.12985719030222517,0.18621700879765396,0.09697508896797154,0.10060975609756097,0.19291338582677164,0.11328125000000001,0.2307692307692308,0.22891566265060245,0.20743639921722115,0.1796962879640045,0.183165548098434,0.20630288882404435,0.248346361996392,0.24548286604361372,0.2854833494988684,0.2765479627847289,0.3017868960953012,0.20367197062423495,0.2671085799645224,0.26554261439627147,0.23546708889391543,0.25146771037182,0.2072072072072072,0.22358501181501073,0.2048140984311197,0.22056384742951907,0.19509476031215162,0.2033542976939203,0.20775389801938474,0.19232307077169133,0.18375094912680334,0.16821044831419046,0.1650853889943074,0.16596319432719905,0.16518362724478242,0.23270829647974528,0.3297961463278413,0.3190630812395573,0.33125000000000004,0.33300697589034395,0.32774127123519975,0.2979500140409997,0.30811808118081185,0.14926768463695853,,0.2194648747251905
Greece,0.1775763679086942,0.17967452673530387,0.2631964809384164,0.21263345195729538,0.2492378048780488,0.30774278215223094,0.26171875,0.3290286355979787,0.33433734939759047,0.27919112850619704,0.3222722159730034,0.34563758389261745,0.31718704406186177,0.35658448586891156,0.4205607476635514,0.48916909149692844,0.4449791466153353,0.3911317008603574,0.3317013463892288,,,,,0.3493493493493494,0.39687183526499387,0.39393939393939387,0.45036721156124143,0.41583054626532884,0.45492662473794554,0.4184576485461441,0.4022391043582567,0.34889901290812453,0.3293812523156725,0.33241331723305156,0.32128988688164783,0.30917327293318236,0.42729524146470893,0.5842253870737534,0.6059392831247438,0.6656250000000001,0.7001590992534574,0.694152560336735,0.6602078067958438,0.7232472324723248,0.6322842006855718,,0.4056057294730493
Iceland,0.5233299765021819,0.5350381932912653,0.6847507331378299,0.6797153024911032,0.5541158536585368,0.5406824146981627,0.54296875,0.5620437956204379,0.5662650602409639,0.6249184605348989,0.5584926884139482,0.49384787472035785,0.5302013422818793,0.5550210463018639,0.5763239875389408,0.6378920142256708,0.6855951235162016,0.7485109199205825,0.5471236230110158,0.535524227429745,0.5307633369753957,0.4910653698258313,0.5181017612524462,0.4354354354354354,0.513896703049398,0.44981732215774767,0.5356550580431179,0.5183946488294314,0.5224784532960633,0.4627054361567636,0.4342263094762095,0.4286256643887623,0.43868099296035573,0.45489046058306015,0.4462265743710957,0.40624494418378904,0.4936316999823102,0.5935337739303111,0.6217017117997541,0.6375000000000001,0.6542650838330683,0.6638706356175998,0.6854816062903679,0.6801968019680198,1.0,,0.5622166927098203
India,,,0.10520527859237533,0.05471530249110323,0.06669207317073174,0.13418635170603677,0.071484375,0.214486243683324,0.19427710843373497,0.18264840182648404,0.1673228346456693,0.1719798657718121,0.18383425736796033,0.248346361996392,0.26479750778816197,0.2984157775622373,0.29740134744947067,0.3117140966247518,0.2093023255813953,0.2344318924470171,0.22337932003753888,0.17100203573852074,0.187866927592955,0.16416416416416413,0.1889276471250141,0.17107242639157536,0.15944089078417437,0.13400222965440356,0.138830654553925,0.15065318162663294,0.15213914434226308,0.15015186028853456,0.15524268247499073,0.15818526824219423,0.17609319601553267,0.18136223911988353,0.22607465062798512,0.2782897390548884,0.3001481668295451,0.29375,0.3085301676661364,0.3095721164037187,,,,,0.19475300277183089
Indonesia,0.16079221215172879,0.2228495516439721,0.3878299120234604,0.3861209964412813,0.39405487804878053,0.4291338582677165,0.40234374999999994,0.5087029758562606,0.5753012048192773,0.5923026744944553,0.468503937007874,0.43512304250559286,0.41931718704406196,0.5069152134696331,0.3894080996884735,0.4471387002909796,0.4449791466153353,0.49040370615486434,0.42962056303549573,0.39548128092615065,0.38568533488083206,0.30106310789414165,0.35420743639921726,0.27727727727727725,0.2978507932935749,0.3187191059531485,0.3200663349917081,0.30211817168338906,,0.22250316055625788,0.21231507397041186,0.21032649962034927,0.2034086698777325,,,,0.2747213868742261,0.31428216823357835,0.3001481668295451,0.325,0.3268877738342921,0.31865669381945927,0.2782926144341477,0.28966789667896686,0.12122156435026489,,0.3522132224862906
Iran,0.022155085599194334,0.015277316506144136,0.0,0.012010676156583612,0.0,0.11811023622047245,0.04960937499999998,0.10696238068500843,0.07439759036144579,0.1056751467710372,0.06974128233970753,0.07802013422818792,0.09658593522030934,0.16205652435357787,0.14579439252336446,0.15324927255092144,0.13474494706448506,0.1386499007279947,0.09840881272949817,0.1378022593595369,0.15401390028607567,0.06265550780366433,0.07216242661448143,0.1015015015015015,0.15719590412962758,0.1940683430045132,0.16939113954039328,0.12441471571906354,0.06731889121826229,0.09924146649810367,0.07616953218712516,0.07365223993925589,0.07187847350870694,0.09711919958599276,0.08863751477291912,0.07846626759424043,0.11772510171590304,0.1982376120884917,,,,,,,,,0.09797634226594187
Ireland,0.4763343403826788,0.49850547990700766,0.6077712609970674,0.5951957295373667,0.6112804878048782,0.5866141732283464,0.56640625,0.553621560920831,0.6475903614457832,0.7031963470319637,0.6456692913385825,0.6784116331096197,0.7286256200758683,0.7594708358388453,0.7850467289719626,0.8448108632395731,0.8812961180622394,0.8146922567835871,0.5813953488372093,0.5915414060311829,0.585167587760857,0.5589233205157206,0.62573385518591,0.5075075075075075,0.5904129627545854,0.5529765742531699,0.5925136223643687,0.5340022296544036,0.5457721872816212,0.4879898862199747,0.4462215113954418,0.43432042520880787,0.4405335309373843,0.4221148870105227,0.43609657268276214,0.4013913606212587,0.5046877764019104,0.6524868906885102,0.6563790548847767,0.6562500000000001,0.666503487945172,0.6668988280895134,0.6265094074698119,0.5387453874538746,0.38610158928014954,,0.5927492563802802
