1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,0.363,,,,0.358,,,,,,,0.3605
Egypt,,,,,,,,,,,,,,,0.16699999999999998,,,,,0.196,,,,0.21600000000000003,,0.252,,0.263,,,0.278,,,0.22866666666666668
El Salvador,,,,,,,,,,,,,,,,,,,,,0.35200000000000004,0.307,0.34600000000000003,0.4,0.37799999999999995,0.365,0.406,0.345,0.29600000000000004,0.318,0.349,0.382,,0.35366666666666663
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,0.768,,,,,,,,,,,,0.768
Eritrea,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,0.69
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218,,,,,0.218
Ethiopia,,,,,,,,,,,0.455,,,,0.442,,,,,0.389,,,,,,0.29600000000000004,,,,,,,,0.3955
Fiji,,,,,,,,,,,,,,,,,,0.39799999999999996,,,,,,0.35200000000000004,,,,,0.34,,,,,0.36333333333333334
Gabon,,,,,,,,,,,,,,,,,,,,,0.327,,,,,,,,,,,,,0.327
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,0.484,,,,,,,,0.484
Georgia,,,,,,,,,,,,,,,,,,0.326,0.332,0.326,0.332,0.34700000000000003,0.374,0.33399999999999996,0.335,0.361,0.325,0.289,0.256,0.22399999999999998,0.20800000000000002,0.213,,0.3054666666666667
Ghana,,,,,,,,,,,,,,,,,,,,,0.319,,,,,,,0.242,,,,,,0.28049999999999997
Guatemala,,,,,,,,,,,,,,,,0.56,,,,,,0.51,,,,,0.537,,,0.593,,,,0.55
Guinea,,,,,,,,,,0.626,,,,,,,,0.5539999999999999,,,,,0.53,,,,,0.552,,,,,,0.5655
Guinea-Bissau,,,,,,,,,,,,,,,,,,0.647,,,,,,,,0.693,,,,,,,,0.6699999999999999
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.585,,,,,,0.585
Honduras,,,,,,,,,,,,,,,,,0.637,0.648,0.653,0.6459999999999999,0.637,0.599,0.5820000000000001,0.5920000000000001,0.588,0.6,0.619,0.665,0.645,0.628,0.638,0.609,,0.624125
Hungary,,,,,,,,,,,,,,,,,,,,0.135,0.159,0.12300000000000001,0.124,0.124,0.12300000000000001,0.141,0.14300000000000002,0.15,0.15,0.149,,,,0.13827272727272727
India,,,,,,,,,0.45299999999999996,,,,,,,,,,,0.37200000000000005,,,,,0.298,,0.21899999999999997,,,,,,,0.33549999999999996
Indonesia,,,,,,,,,,,,0.175,,,0.23399999999999999,0.18899999999999997,0.184,0.182,0.174,0.16699999999999998,0.16,0.17800000000000002,0.166,0.154,0.142,0.133,0.125,0.12,0.114,0.113,0.11199999999999999,0.109,0.106,0.15184999999999998
Iraq,,,,,,,,,,,,,,,,,,,,,,0.22399999999999998,,,,,,0.18899999999999997,,,,,,0.20649999999999996
Jamaica,,,,,0.305,0.284,0.446,0.33899999999999997,0.244,0.228,0.275,0.261,0.19899999999999998,0.159,0.16899999999999998,0.187,0.16899999999999998,0.19699999999999998,0.191,0.16899999999999998,0.14800000000000002,0.14300000000000002,0.099,0.12300000000000001,0.165,0.17600000000000002,,0.19899999999999998,,,,,,0.21195652173913043
Jordan,,,,,,,,,,,,,,,,,,,,,,,,0.133,,0.14400000000000002,,,,,,,,0.1385
Kazakhstan,,,,,,,,,,,,,,,,,0.467,0.445,0.375,0.33899999999999997,0.316,0.182,0.127,0.121,0.08199999999999999,0.065,0.055,0.038,0.028999999999999998,0.027999999999999997,0.027000000000000003,,,0.17973333333333336
Kenya,,,,,,,,,,,,,,,,,,,,,0.46799999999999997,,,,,,,,,,0.361,,,0.4145
Kiribati,,,,,,,,,,,,,,,,,,,,,,0.218,,,,,,,,,,,,0.218
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,0.39899999999999997,0.35,0.317,0.317,0.337,0.368,0.38,0.37,0.306,0.321,0.254,,0.3380909090909091
Lao,,,,,,,,,,,,,0.391,,,,,0.335,,,,,0.276,,,,,0.23399999999999999,,,,,,0.309
Latvia,,,,,,,,,,,,,,,,,,,,0.19399999999999998,0.235,0.212,0.259,0.264,0.209,0.19,0.192,0.19399999999999998,0.212,0.225,,,,0.2169090909090909
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27399999999999997,,,,,,0.27399999999999997
